target,feature,weight
y,psa_00,64.39649821871
y,<BIAS>,31.743417483609853
y,lln_00,13.267810457206512
y,pg_03,6.5978921928511545
y,stv_00,5.1470215998620255
y,lan_02,0.29874914314888384
y,NL,-0.04657242779464332
y,pw_01,-0.7712199226067126
y,pg_01,-1.6592327952761294
y,psa_01,-5.682225344399025
y,pw_00,-6.432799698926316
y,lan_01,-8.88509572595977
y,lan_00,-10.62516052774112
y,pg_00,-14.491150073840885
y,car_00,-38.07521166875168
